#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den    phistar
34    34.5 1.566   2.5     11    102   5        0.586057 0.588097 0.584018 85      0
34    34.5 1.566   2.5     5     11    5        0.752532 0.752723 0.752341 459.898 0
34    34.5 -2.5    -1.566  0     5     5        0.905079 0.912482 0.897677 573.703 0
34    34.5 -2.5    -1.566  11    102   5        0.707713 0.709544 0.705882 85      0
34    34.5 -2.5    -1.566  5     11    5        0.701387 0.709251 0.693522 455     0
34.5  35   -1.4442 1.4442  0     5     5        0.937952 0.938876 0.937028 2798    0
34.5  35   -1.4442 1.4442  11    102   5        0.71923  0.72283  0.715631 533     0
34.5  35   -1.4442 1.4442  5     11    5        0.866304 0.867403 0.865205 2556    0
34.5  35   1.566   2.5     0     5     5        0.886787 0.889597 0.883978 543     0
34.5  35   1.566   2.5     11    102   5        0.499088 0.506391 0.491786 76.9847 0
34.5  35   1.566   2.5     5     11    5        0.760666 0.764519 0.756813 477     0
34.5  35   -2.5    -1.566  0     5     5        0.869379 0.871746 0.867012 580     0
34.5  35   -2.5    -1.566  11    102   5        0.538436 0.546872 0.53     100     0
34.5  35   -2.5    -1.566  5     11    5        0.702474 0.708    0.696947 500     0
35    35.5 -1.4442 1.4442  0     5     5        0.953666 0.954234 0.953099 3002    0
35    35.5 -1.4442 1.4442  11    102   5        0.718263 0.718857 0.717668 550     0
35    35.5 -1.4442 1.4442  5     11    5        0.877472 0.878526 0.876417 2654    0
35    35.5 1.566   2.5     0     5     5        0.886828 0.887165 0.88649  579.75  0
35    35.5 1.566   2.5     11    102   5        0.586237 0.594697 0.577778 90      0
35    35.5 1.566   2.5     5     11    5        0.738874 0.743852 0.733895 488     0
35    35.5 -2.5    -1.566  0     5     5        0.8882   0.895965 0.880435 553     0
35    35.5 -2.5    -1.566  11    102   5        0.514679 0.539562 0.489796 98      0
35    35.5 -2.5    -1.566  5     11    5        0.749433 0.751304 0.747562 450.884 0
35.5  36   -1.4442 1.4442  0     5     5        0.950428 0.951207 0.94965  3017    0
35.5  36   -1.4442 1.4442  11    102   5        0.773954 0.775832 0.772075 574     0
35.5  36   -1.4442 1.4442  5     11    5        0.879822 0.879838 0.879806 2897    0
35.5  36   1.566   2.5     0     5     5        0.893043 0.896774 0.889312 558     0
35.5  36   1.566   2.5     11    102   5        0.630201 0.650646 0.609756 82      0
35.5  36   1.566   2.5     5     11    5        0.766534 0.776259 0.756809 514     0
35.5  36   -2.5    -1.566  0     5     5        0.859878 0.860107 0.859649 570     0
35.5  36   -2.5    -1.566  11    102   5        0.478572 0.5      0.457143 86      0
35.5  36   -2.5    -1.566  5     11    5        0.744094 0.748964 0.739224 464     0
36    36.5 -1.4442 1.4442  0     5     5        0.940241 0.940299 0.940183 3225    0
36    36.5 -1.4442 1.4442  11    102   5        0.719783 0.719832 0.719735 603     0
36    36.5 -1.4442 1.4442  5     11    5        0.888721 0.889142 0.8883   3026    0
36    36.5 1.566   2.5     0     5     5        0.916899 0.917989 0.915808 582     0
36    36.5 1.566   2.5     11    102   5        0.502676 0.518987 0.486366 79      0
36    36.5 1.566   2.5     5     11    5        0.767214 0.772152 0.762275 542.909 0
36    36.5 -2.5    -1.566  0     5     5        0.888536 0.889432 0.88764  624     0
36    36.5 -2.5    -1.566  11    102   5        0.562027 0.622691 0.501363 80      0
36    36.5 -2.5    -1.566  5     11    5        0.728556 0.737391 0.719721 575     0
36.5  37   -1.4442 1.4442  0     5     5        0.952595 0.95304  0.95215  3316    0
36.5  37   -1.4442 1.4442  11    102   5        0.779837 0.780039 0.779635 660     0
36.5  37   -1.4442 1.4442  5     11    5        0.894691 0.895831 0.893551 3254    0
36.5  37   1.566   2.5     0     5     5        0.894849 0.898137 0.891561 578.519 0
36.5  37   1.566   2.5     11    102   5        0.606754 0.614192 0.599317 91      0
36.5  37   1.566   2.5     5     11    5        0.748846 0.750177 0.747515 503     0
36.5  37   -2.5    -1.566  0     5     5        0.889904 0.890304 0.889504 605.956 0
36.5  37   -2.5    -1.566  11    102   5        0.649999 0.657892 0.642105 95      0
36.5  37   -2.5    -1.566  5     11    5        0.761759 0.770751 0.752768 506     0
37    37.5 -1.4442 1.4442  0     5     5        0.958788 0.958835 0.958742 3478    0
37    37.5 -1.4442 1.4442  11    102   5        0.76207  0.762951 0.761189 638     0
37    37.5 -1.4442 1.4442  5     11    5        0.880231 0.880424 0.880038 3192    0
37    37.5 1.566   2.5     0     5     5        0.910466 0.910959 0.909974 584     0
37    37.5 1.566   2.5     11    102   5        0.60657  0.61314  0.6      100     0
37    37.5 1.566   2.5     5     11    5        0.770806 0.775898 0.765714 525     0
37    37.5 -2.5    -1.566  0     5     5        0.923585 0.92417  0.922999 606.83  0
37    37.5 -2.5    -1.566  11    102   5        0.624575 0.629103 0.620047 99.8303 0
37    37.5 -2.5    -1.566  5     11    5        0.74604  0.746479 0.745601 497     0
37.5  38   -1.4442 1.4442  0     5     5        0.958547 0.959248 0.957847 3514    0
37.5  38   -1.4442 1.4442  11    102   5        0.781027 0.78217  0.779883 688     0
37.5  38   -1.4442 1.4442  5     11    5        0.900258 0.901242 0.899274 3319    0
37.5  38   1.566   2.5     0     5     5        0.88957  0.890845 0.888294 568     0
37.5  38   1.566   2.5     11    102   5        0.654922 0.674157 0.635687 89      0
37.5  38   1.566   2.5     5     11    5        0.727402 0.738295 0.716509 475.784 0
37.5  38   -2.5    -1.566  0     5     5        0.919262 0.921492 0.917032 566.576 0
37.5  38   -2.5    -1.566  11    102   5        0.659714 0.695737 0.62369  92.9065 0
37.5  38   -2.5    -1.566  5     11    5        0.775183 0.775348 0.775018 503     0
38    38.5 -1.4442 1.4442  0     5     5        0.962784 0.9629   0.962668 3655    0
